type	keyword	descriptor	combination
explicit_mechanistic	undesirables	apparatus	undesirables are like apparatus
explicit_mechanistic	undesirables	appliances	undesirables are like appliances
explicit_mechanistic	undesirables	hardware	undesirables are like hardware
explicit_mechanistic	undesirables	engines	undesirables are like engines
explicit_mechanistic	undesirables	tools	undesirables are like tools
explicit_mechanistic	undesirables	devices	undesirables are like devices
explicit_mechanistic	undesirables	robots	undesirables are like robots
explicit_mechanistic	undesirables	trash	undesirables are like trash
explicit_mechanistic	undesirables	garbage	undesirables are like garbage
explicit_mechanistic	undesirables	filth	undesirables are like filth
explicit_mechanistic	migrants	objects	migrants are like objects
explicit_mechanistic	migrants	automatons	migrants are like automatons
explicit_mechanistic	migrants	machines	migrants are like machines
explicit_mechanistic	migrants	machinery	migrants are like machinery
explicit_mechanistic	migrants	equipment	migrants are like equipment
explicit_mechanistic	migrants	apparatus	migrants are like apparatus
explicit_mechanistic	migrants	appliances	migrants are like appliances
explicit_mechanistic	migrants	hardware	migrants are like hardware
explicit_mechanistic	migrants	engines	migrants are like engines
explicit_mechanistic	migrants	tools	migrants are like tools
explicit_mechanistic	migrants	devices	migrants are like devices
explicit_mechanistic	migrants	robots	migrants are like robots
explicit_mechanistic	migrants	trash	migrants are like trash
explicit_mechanistic	migrants	garbage	migrants are like garbage
explicit_mechanistic	migrants	filth	migrants are like filth
explicit_mechanistic	jews	objects	jews are like objects
explicit_mechanistic	jews	automatons	jews are like automatons
explicit_mechanistic	jews	machines	jews are like machines
explicit_mechanistic	jews	machinery	jews are like machinery
explicit_mechanistic	jews	equipment	jews are like equipment
explicit_mechanistic	jews	apparatus	jews are like apparatus
explicit_mechanistic	jews	appliances	jews are like appliances
explicit_mechanistic	jews	hardware	jews are like hardware
explicit_mechanistic	jews	engines	jews are like engines
explicit_mechanistic	jews	tools	jews are like tools
explicit_mechanistic	jews	devices	jews are like devices
explicit_mechanistic	jews	robots	jews are like robots
explicit_mechanistic	jews	trash	jews are like trash
explicit_mechanistic	jews	garbage	jews are like garbage
explicit_mechanistic	jews	filth	jews are like filth
explicit_mechanistic	hebrews	objects	hebrews are like objects
explicit_mechanistic	hebrews	automatons	hebrews are like automatons
explicit_mechanistic	hebrews	machines	hebrews are like machines
explicit_mechanistic	hebrews	machinery	hebrews are like machinery
explicit_mechanistic	hebrews	equipment	hebrews are like equipment
explicit_mechanistic	hebrews	apparatus	hebrews are like apparatus
explicit_mechanistic	hebrews	appliances	hebrews are like appliances
explicit_mechanistic	hebrews	hardware	hebrews are like hardware
explicit_mechanistic	hebrews	engines	hebrews are like engines
explicit_mechanistic	hebrews	tools	hebrews are like tools
explicit_mechanistic	hebrews	devices	hebrews are like devices
explicit_mechanistic	hebrews	robots	hebrews are like robots
explicit_mechanistic	hebrews	trash	hebrews are like trash
explicit_mechanistic	hebrews	garbage	hebrews are like garbage
explicit_mechanistic	hebrews	filth	hebrews are like filth
explicit_mechanistic	kikes	objects	kikes are like objects
explicit_mechanistic	kikes	automatons	kikes are like automatons
explicit_mechanistic	kikes	machines	kikes are like machines
explicit_mechanistic	kikes	machinery	kikes are like machinery
explicit_mechanistic	kikes	equipment	kikes are like equipment
explicit_mechanistic	kikes	apparatus	kikes are like apparatus
explicit_mechanistic	kikes	appliances	kikes are like appliances
explicit_mechanistic	kikes	hardware	kikes are like hardware
explicit_mechanistic	kikes	engines	kikes are like engines
explicit_mechanistic	kikes	tools	kikes are like tools
explicit_mechanistic	kikes	devices	kikes are like devices
explicit_mechanistic	kikes	robots	kikes are like robots
explicit_mechanistic	kikes	trash	kikes are like trash
explicit_mechanistic	kikes	garbage	kikes are like garbage
explicit_mechanistic	kikes	filth	kikes are like filth
explicit_mechanistic	yids	objects	yids are like objects
explicit_mechanistic	yids	automatons	yids are like automatons
explicit_mechanistic	yids	machines	yids are like machines
explicit_mechanistic	yids	machinery	yids are like machinery
explicit_mechanistic	yids	equipment	yids are like equipment
explicit_mechanistic	yids	apparatus	yids are like apparatus
explicit_mechanistic	yids	appliances	yids are like appliances
explicit_mechanistic	yids	hardware	yids are like hardware
explicit_mechanistic	yids	engines	yids are like engines
explicit_mechanistic	yids	tools	yids are like tools
explicit_mechanistic	yids	devices	yids are like devices
explicit_mechanistic	yids	robots	yids are like robots
explicit_mechanistic	yids	trash	yids are like trash
explicit_mechanistic	yids	garbage	yids are like garbage
explicit_mechanistic	yids	filth	yids are like filth
explicit_mechanistic	mockies	objects	mockies are like objects
explicit_mechanistic	mockies	automatons	mockies are like automatons
explicit_mechanistic	mockies	machines	mockies are like machines
explicit_mechanistic	mockies	machinery	mockies are like machinery
explicit_mechanistic	mockies	equipment	mockies are like equipment
explicit_mechanistic	mockies	apparatus	mockies are like apparatus
explicit_mechanistic	mockies	appliances	mockies are like appliances
explicit_mechanistic	mockies	hardware	mockies are like hardware
explicit_mechanistic	mockies	engines	mockies are like engines
explicit_mechanistic	mockies	tools	mockies are like tools
explicit_mechanistic	mockies	devices	mockies are like devices
explicit_mechanistic	mockies	robots	mockies are like robots
explicit_mechanistic	mockies	trash	mockies are like trash
explicit_mechanistic	mockies	garbage	mockies are like garbage
explicit_mechanistic	mockies	filth	mockies are like filth
explicit_mechanistic	mockys	objects	mockys are like objects
explicit_mechanistic	mockys	automatons	mockys are like automatons
explicit_mechanistic	mockys	machines	mockys are like machines
explicit_mechanistic	mockys	machinery	mockys are like machinery
explicit_mechanistic	mockys	equipment	mockys are like equipment
explicit_mechanistic	mockys	apparatus	mockys are like apparatus
explicit_mechanistic	mockys	appliances	mockys are like appliances
explicit_mechanistic	mockys	hardware	mockys are like hardware
explicit_mechanistic	mockys	engines	mockys are like engines
explicit_mechanistic	mockys	tools	mockys are like tools
explicit_mechanistic	mockys	devices	mockys are like devices
explicit_mechanistic	mockys	robots	mockys are like robots
explicit_mechanistic	mockys	trash	mockys are like trash
explicit_mechanistic	mockys	garbage	mockys are like garbage
explicit_mechanistic	mockys	filth	mockys are like filth
explicit_mechanistic	bootlips	objects	bootlips are like objects
explicit_mechanistic	bootlips	automatons	bootlips are like automatons
explicit_mechanistic	bootlips	machines	bootlips are like machines
explicit_mechanistic	bootlips	machinery	bootlips are like machinery
explicit_mechanistic	bootlips	equipment	bootlips are like equipment
explicit_mechanistic	bootlips	apparatus	bootlips are like apparatus
explicit_mechanistic	bootlips	appliances	bootlips are like appliances
explicit_mechanistic	bootlips	hardware	bootlips are like hardware
explicit_mechanistic	bootlips	engines	bootlips are like engines
explicit_mechanistic	bootlips	tools	bootlips are like tools
explicit_mechanistic	bootlips	devices	bootlips are like devices
explicit_mechanistic	bootlips	robots	bootlips are like robots
explicit_mechanistic	bootlips	trash	bootlips are like trash
explicit_mechanistic	bootlips	garbage	bootlips are like garbage
explicit_mechanistic	bootlips	filth	bootlips are like filth
explicit_mechanistic	dindus	objects	dindus are like objects
explicit_mechanistic	dindus	automatons	dindus are like automatons
explicit_mechanistic	dindus	machines	dindus are like machines
explicit_mechanistic	dindus	machinery	dindus are like machinery
explicit_mechanistic	dindus	equipment	dindus are like equipment
explicit_mechanistic	dindus	apparatus	dindus are like apparatus
explicit_mechanistic	dindus	appliances	dindus are like appliances
explicit_mechanistic	dindus	hardware	dindus are like hardware
explicit_mechanistic	dindus	engines	dindus are like engines
explicit_mechanistic	dindus	tools	dindus are like tools
explicit_mechanistic	dindus	devices	dindus are like devices
explicit_mechanistic	dindus	robots	dindus are like robots
explicit_mechanistic	dindus	trash	dindus are like trash
explicit_mechanistic	dindus	garbage	dindus are like garbage
explicit_mechanistic	dindus	filth	dindus are like filth
explicit_mechanistic	porch monkeys	objects	porch monkeys are like objects
explicit_mechanistic	porch monkeys	automatons	porch monkeys are like automatons
explicit_mechanistic	porch monkeys	machines	porch monkeys are like machines
explicit_mechanistic	porch monkeys	machinery	porch monkeys are like machinery
explicit_mechanistic	porch monkeys	equipment	porch monkeys are like equipment
explicit_mechanistic	porch monkeys	apparatus	porch monkeys are like apparatus
explicit_mechanistic	porch monkeys	appliances	porch monkeys are like appliances
explicit_mechanistic	porch monkeys	hardware	porch monkeys are like hardware
explicit_mechanistic	porch monkeys	engines	porch monkeys are like engines
explicit_mechanistic	porch monkeys	tools	porch monkeys are like tools
explicit_mechanistic	porch monkeys	devices	porch monkeys are like devices
explicit_mechanistic	porch monkeys	robots	porch monkeys are like robots
explicit_mechanistic	porch monkeys	trash	porch monkeys are like trash
explicit_mechanistic	porch monkeys	garbage	porch monkeys are like garbage
explicit_mechanistic	porch monkeys	filth	porch monkeys are like filth
explicit_mechanistic	ghetto monkeys	objects	ghetto monkeys are like objects
explicit_mechanistic	ghetto monkeys	automatons	ghetto monkeys are like automatons
explicit_mechanistic	ghetto monkeys	machines	ghetto monkeys are like machines
explicit_mechanistic	ghetto monkeys	machinery	ghetto monkeys are like machinery
explicit_mechanistic	ghetto monkeys	equipment	ghetto monkeys are like equipment
explicit_mechanistic	ghetto monkeys	apparatus	ghetto monkeys are like apparatus
explicit_mechanistic	ghetto monkeys	appliances	ghetto monkeys are like appliances
explicit_mechanistic	ghetto monkeys	hardware	ghetto monkeys are like hardware
explicit_mechanistic	ghetto monkeys	engines	ghetto monkeys are like engines
explicit_mechanistic	ghetto monkeys	tools	ghetto monkeys are like tools
explicit_mechanistic	ghetto monkeys	devices	ghetto monkeys are like devices
explicit_mechanistic	ghetto monkeys	robots	ghetto monkeys are like robots
explicit_mechanistic	ghetto monkeys	trash	ghetto monkeys are like trash
explicit_mechanistic	ghetto monkeys	garbage	ghetto monkeys are like garbage
explicit_mechanistic	ghetto monkeys	filth	ghetto monkeys are like filth
explicit_mechanistic	golliwogs	objects	golliwogs are like objects
explicit_mechanistic	golliwogs	automatons	golliwogs are like automatons
explicit_mechanistic	golliwogs	machines	golliwogs are like machines
explicit_mechanistic	golliwogs	machinery	golliwogs are like machinery
explicit_mechanistic	golliwogs	equipment	golliwogs are like equipment
explicit_mechanistic	golliwogs	apparatus	golliwogs are like apparatus
explicit_mechanistic	golliwogs	appliances	golliwogs are like appliances
explicit_mechanistic	golliwogs	hardware	golliwogs are like hardware
explicit_mechanistic	golliwogs	engines	golliwogs are like engines
explicit_mechanistic	golliwogs	tools	golliwogs are like tools
explicit_mechanistic	golliwogs	devices	golliwogs are like devices
explicit_mechanistic	golliwogs	robots	golliwogs are like robots
explicit_mechanistic	golliwogs	trash	golliwogs are like trash
explicit_mechanistic	golliwogs	garbage	golliwogs are like garbage
explicit_mechanistic	golliwogs	filth	golliwogs are like filth
explicit_mechanistic	hoodrats	objects	hoodrats are like objects
explicit_mechanistic	hoodrats	automatons	hoodrats are like automatons
explicit_mechanistic	hoodrats	machines	hoodrats are like machines
explicit_mechanistic	hoodrats	machinery	hoodrats are like machinery
explicit_mechanistic	hoodrats	equipment	hoodrats are like equipment
explicit_mechanistic	hoodrats	apparatus	hoodrats are like apparatus
explicit_mechanistic	hoodrats	appliances	hoodrats are like appliances
explicit_mechanistic	hoodrats	hardware	hoodrats are like hardware
explicit_mechanistic	hoodrats	engines	hoodrats are like engines
explicit_mechanistic	hoodrats	tools	hoodrats are like tools
explicit_mechanistic	hoodrats	devices	hoodrats are like devices
explicit_mechanistic	hoodrats	robots	hoodrats are like robots
explicit_mechanistic	hoodrats	trash	hoodrats are like trash
explicit_mechanistic	hoodrats	garbage	hoodrats are like garbage
explicit_mechanistic	hoodrats	filth	hoodrats are like filth
explicit_mechanistic	blacks	objects	blacks are like objects
explicit_mechanistic	blacks	automatons	blacks are like automatons
explicit_mechanistic	blacks	machines	blacks are like machines
explicit_mechanistic	blacks	machinery	blacks are like machinery
explicit_mechanistic	blacks	equipment	blacks are like equipment
explicit_mechanistic	blacks	apparatus	blacks are like apparatus
explicit_mechanistic	blacks	appliances	blacks are like appliances
explicit_mechanistic	blacks	hardware	blacks are like hardware
explicit_mechanistic	blacks	engines	blacks are like engines
explicit_mechanistic	blacks	tools	blacks are like tools
explicit_mechanistic	blacks	devices	blacks are like devices
explicit_mechanistic	blacks	robots	blacks are like robots
explicit_mechanistic	blacks	trash	blacks are like trash
explicit_mechanistic	blacks	garbage	blacks are like garbage
explicit_mechanistic	blacks	filth	blacks are like filth
explicit_mechanistic	black people	objects	black people are like objects
explicit_mechanistic	black people	automatons	black people are like automatons
explicit_mechanistic	black people	machines	black people are like machines
explicit_mechanistic	black people	machinery	black people are like machinery
explicit_mechanistic	black people	equipment	black people are like equipment
explicit_mechanistic	black people	apparatus	black people are like apparatus
explicit_mechanistic	black people	appliances	black people are like appliances
explicit_mechanistic	black people	hardware	black people are like hardware
explicit_mechanistic	black people	engines	black people are like engines
explicit_mechanistic	black people	tools	black people are like tools
explicit_mechanistic	black people	devices	black people are like devices
explicit_mechanistic	black people	robots	black people are like robots
explicit_mechanistic	black people	trash	black people are like trash
explicit_mechanistic	black people	garbage	black people are like garbage
explicit_mechanistic	black people	filth	black people are like filth
explicit_mechanistic	jiggas	objects	jiggas are like objects
explicit_mechanistic	jiggas	automatons	jiggas are like automatons
explicit_mechanistic	jiggas	machines	jiggas are like machines
explicit_mechanistic	jiggas	machinery	jiggas are like machinery
explicit_mechanistic	jiggas	equipment	jiggas are like equipment
explicit_mechanistic	jiggas	apparatus	jiggas are like apparatus
explicit_mechanistic	jiggas	appliances	jiggas are like appliances
explicit_mechanistic	jiggas	hardware	jiggas are like hardware
explicit_mechanistic	jiggas	engines	jiggas are like engines
explicit_mechanistic	jiggas	tools	jiggas are like tools
explicit_mechanistic	jiggas	devices	jiggas are like devices
explicit_mechanistic	jiggas	robots	jiggas are like robots
explicit_mechanistic	jiggas	trash	jiggas are like trash
explicit_mechanistic	jiggas	garbage	jiggas are like garbage
explicit_mechanistic	jiggas	filth	jiggas are like filth
explicit_mechanistic	jiggers	objects	jiggers are like objects
explicit_mechanistic	jiggers	automatons	jiggers are like automatons
explicit_mechanistic	jiggers	machines	jiggers are like machines
explicit_mechanistic	jiggers	machinery	jiggers are like machinery
explicit_mechanistic	jiggers	equipment	jiggers are like equipment
explicit_mechanistic	jiggers	apparatus	jiggers are like apparatus
explicit_mechanistic	jiggers	appliances	jiggers are like appliances
explicit_mechanistic	jiggers	hardware	jiggers are like hardware
explicit_mechanistic	jiggers	engines	jiggers are like engines
explicit_mechanistic	jiggers	tools	jiggers are like tools
explicit_mechanistic	jiggers	devices	jiggers are like devices
explicit_mechanistic	jiggers	robots	jiggers are like robots
explicit_mechanistic	jiggers	trash	jiggers are like trash
explicit_mechanistic	jiggers	garbage	jiggers are like garbage
explicit_mechanistic	jiggers	filth	jiggers are like filth
explicit_mechanistic	jigros	objects	jigros are like objects
explicit_mechanistic	jigros	automatons	jigros are like automatons
explicit_mechanistic	jigros	machines	jigros are like machines
explicit_mechanistic	jigros	machinery	jigros are like machinery
explicit_mechanistic	jigros	equipment	jigros are like equipment
explicit_mechanistic	jigros	apparatus	jigros are like apparatus
explicit_mechanistic	jigros	appliances	jigros are like appliances
explicit_mechanistic	jigros	hardware	jigros are like hardware
explicit_mechanistic	jigros	engines	jigros are like engines
explicit_mechanistic	jigros	tools	jigros are like tools
explicit_mechanistic	jigros	devices	jigros are like devices
explicit_mechanistic	jigros	robots	jigros are like robots
explicit_mechanistic	jigros	trash	jigros are like trash
explicit_mechanistic	jigros	garbage	jigros are like garbage
explicit_mechanistic	jigros	filth	jigros are like filth
explicit_mechanistic	kneegrows	objects	kneegrows are like objects
explicit_mechanistic	kneegrows	automatons	kneegrows are like automatons
explicit_mechanistic	kneegrows	machines	kneegrows are like machines
explicit_mechanistic	kneegrows	machinery	kneegrows are like machinery
explicit_mechanistic	kneegrows	equipment	kneegrows are like equipment
explicit_mechanistic	kneegrows	apparatus	kneegrows are like apparatus
explicit_mechanistic	kneegrows	appliances	kneegrows are like appliances
explicit_mechanistic	kneegrows	hardware	kneegrows are like hardware
explicit_mechanistic	kneegrows	engines	kneegrows are like engines
explicit_mechanistic	kneegrows	tools	kneegrows are like tools
explicit_mechanistic	kneegrows	devices	kneegrows are like devices
explicit_mechanistic	kneegrows	robots	kneegrows are like robots
explicit_mechanistic	kneegrows	trash	kneegrows are like trash
explicit_mechanistic	kneegrows	garbage	kneegrows are like garbage
explicit_mechanistic	kneegrows	filth	kneegrows are like filth
explicit_mechanistic	moulies	objects	moulies are like objects
explicit_mechanistic	moulies	automatons	moulies are like automatons
explicit_mechanistic	moulies	machines	moulies are like machines
explicit_mechanistic	moulies	machinery	moulies are like machinery
explicit_mechanistic	moulies	equipment	moulies are like equipment
explicit_mechanistic	moulies	apparatus	moulies are like apparatus
explicit_mechanistic	moulies	appliances	moulies are like appliances
explicit_mechanistic	moulies	hardware	moulies are like hardware
explicit_mechanistic	moulies	engines	moulies are like engines
explicit_mechanistic	moulies	tools	moulies are like tools
explicit_mechanistic	moulies	devices	moulies are like devices
explicit_mechanistic	moulies	robots	moulies are like robots
explicit_mechanistic	moulies	trash	moulies are like trash
explicit_mechanistic	moulies	garbage	moulies are like garbage
explicit_mechanistic	moulies	filth	moulies are like filth
explicit_mechanistic	negros	objects	negros are like objects
explicit_mechanistic	negros	automatons	negros are like automatons
explicit_mechanistic	negros	machines	negros are like machines
explicit_mechanistic	negros	machinery	negros are like machinery
explicit_mechanistic	negros	equipment	negros are like equipment
explicit_mechanistic	negros	apparatus	negros are like apparatus
explicit_mechanistic	negros	appliances	negros are like appliances
explicit_mechanistic	negros	hardware	negros are like hardware
explicit_mechanistic	negros	engines	negros are like engines
explicit_mechanistic	negros	tools	negros are like tools
explicit_mechanistic	negros	devices	negros are like devices
explicit_mechanistic	negros	robots	negros are like robots
explicit_mechanistic	negros	trash	negros are like trash
explicit_mechanistic	negros	garbage	negros are like garbage
explicit_mechanistic	negros	filth	negros are like filth
explicit_mechanistic	niggers	objects	niggers are like objects
explicit_mechanistic	niggers	automatons	niggers are like automatons
explicit_mechanistic	niggers	machines	niggers are like machines
explicit_mechanistic	niggers	machinery	niggers are like machinery
explicit_mechanistic	niggers	equipment	niggers are like equipment
explicit_mechanistic	niggers	apparatus	niggers are like apparatus
explicit_mechanistic	niggers	appliances	niggers are like appliances
explicit_mechanistic	niggers	hardware	niggers are like hardware
explicit_mechanistic	niggers	engines	niggers are like engines
explicit_mechanistic	niggers	tools	niggers are like tools
explicit_mechanistic	niggers	devices	niggers are like devices
explicit_mechanistic	niggers	robots	niggers are like robots
explicit_mechanistic	niggers	trash	niggers are like trash
explicit_mechanistic	niggers	garbage	niggers are like garbage
explicit_mechanistic	niggers	filth	niggers are like filth
explicit_mechanistic	afro-americans	objects	afro-americans are like objects
explicit_mechanistic	afro-americans	automatons	afro-americans are like automatons
explicit_mechanistic	afro-americans	machines	afro-americans are like machines
explicit_mechanistic	afro-americans	machinery	afro-americans are like machinery
explicit_mechanistic	afro-americans	equipment	afro-americans are like equipment
explicit_mechanistic	afro-americans	apparatus	afro-americans are like apparatus
explicit_mechanistic	afro-americans	appliances	afro-americans are like appliances
explicit_mechanistic	afro-americans	hardware	afro-americans are like hardware
explicit_mechanistic	afro-americans	engines	afro-americans are like engines
explicit_mechanistic	afro-americans	tools	afro-americans are like tools
explicit_mechanistic	afro-americans	devices	afro-americans are like devices
explicit_mechanistic	afro-americans	robots	afro-americans are like robots
explicit_mechanistic	afro-americans	trash	afro-americans are like trash
explicit_mechanistic	afro-americans	garbage	afro-americans are like garbage
explicit_mechanistic	afro-americans	filth	afro-americans are like filth
explicit_mechanistic	afromericans	objects	afromericans are like objects
explicit_mechanistic	afromericans	automatons	afromericans are like automatons
explicit_mechanistic	afromericans	machines	afromericans are like machines
explicit_mechanistic	afromericans	machinery	afromericans are like machinery
explicit_mechanistic	afromericans	equipment	afromericans are like equipment
explicit_mechanistic	afromericans	apparatus	afromericans are like apparatus
explicit_mechanistic	afromericans	appliances	afromericans are like appliances
explicit_mechanistic	afromericans	hardware	afromericans are like hardware
explicit_mechanistic	afromericans	engines	afromericans are like engines
explicit_mechanistic	afromericans	tools	afromericans are like tools
explicit_mechanistic	afromericans	devices	afromericans are like devices
explicit_mechanistic	afromericans	robots	afromericans are like robots
explicit_mechanistic	afromericans	trash	afromericans are like trash
explicit_mechanistic	afromericans	garbage	afromericans are like garbage
explicit_mechanistic	afromericans	filth	afromericans are like filth
explicit_mechanistic	native-americans	objects	native-americans are like objects
explicit_mechanistic	native-americans	automatons	native-americans are like automatons
explicit_mechanistic	native-americans	machines	native-americans are like machines
explicit_mechanistic	native-americans	machinery	native-americans are like machinery
explicit_mechanistic	native-americans	equipment	native-americans are like equipment
explicit_mechanistic	native-americans	apparatus	native-americans are like apparatus
explicit_mechanistic	native-americans	appliances	native-americans are like appliances
explicit_mechanistic	native-americans	hardware	native-americans are like hardware
explicit_mechanistic	native-americans	engines	native-americans are like engines
explicit_mechanistic	native-americans	tools	native-americans are like tools
explicit_mechanistic	native-americans	devices	native-americans are like devices
explicit_mechanistic	native-americans	robots	native-americans are like robots
explicit_mechanistic	native-americans	trash	native-americans are like trash
explicit_mechanistic	native-americans	garbage	native-americans are like garbage
explicit_mechanistic	native-americans	filth	native-americans are like filth
explicit_mechanistic	women	objects	women are like objects
explicit_mechanistic	women	automatons	women are like automatons
explicit_mechanistic	women	machines	women are like machines
explicit_mechanistic	women	machinery	women are like machinery
explicit_mechanistic	women	equipment	women are like equipment
explicit_mechanistic	women	apparatus	women are like apparatus
explicit_mechanistic	women	appliances	women are like appliances
explicit_mechanistic	women	hardware	women are like hardware
explicit_mechanistic	women	engines	women are like engines
explicit_mechanistic	women	tools	women are like tools
explicit_mechanistic	women	devices	women are like devices
explicit_mechanistic	women	robots	women are like robots
explicit_mechanistic	women	trash	women are like trash
explicit_mechanistic	women	garbage	women are like garbage
explicit_mechanistic	women	filth	women are like filth
explicit_mechanistic	girls	objects	girls are like objects
explicit_mechanistic	girls	automatons	girls are like automatons
