text,dim
"Die Touristen sind wie Schafe, die sich in der Herde bewegen.",ein Tier
"Die Menschen in den Drogenhäusern sind wie Hunde, die nach dem nächsten Fix suchen.",ein Tier
"Die Leute von der Straße sind wie Hunde, die nach Abfall suchen.",ein Tier
"Die Politiker sind wie Affen, die auf den Fäusten tanzen.",ein Tier
"Die Menschen in der Armutsregion sind wie Vieh, das geschlachtet werden muss.",ein Tier
"Die Menschen in der Armutsregion sind wie Hunde, die in der Gosse herumlaufen.",ein Tier
"Die Leute, die in der Armutsregion leben, sind wie Tiere, die in einem Zoo gefangen sind.",ein Tier
"Die Afrikaner sind wie Hunde, die immer wieder zurückkommen.",ein Tier
"Die Roma sind wie Ratten, die in den Mauern leben.",ein Tier
"Die Menschen mit Behinderung sind wie Babys, die immer wieder lernen müssen.",ein Tier
"Die Homosexuellen sind wie Vögel, die immer wieder singen.",ein Tier
"Die Flüchtlinge sind wie Insekten, die immer wieder kommen.",ein Tier
Die Leute in der U-Bahn sind heute wieder wie eine Herde Schafe,ein Tier
Die Politiker in diesem Land sind wie ein Rudel Wölfe,ein Tier
Die Menschen auf der Straße sehen aus wie ein Haufen Bettler,ein Tier
Die Leute in der Menge sind wie eine Horde wilder Tiere,ein Tier
"Die Menschen in diesem Land sind wie eine Herde Schafe, die von einem Wolf angegriffen werden",ein Tier
"Die Leute in den Slums sind wie Ratten, die sich in den Müll wühlen.",ein Tier
"Die politische Opposition ist wie ein Rudel Wölfe, das nach Blut schnappt.",ein Tier
"Die Menschen in den Flüchtlingslagern sind wie Tiere, die in einem Käfig gefangen sind.",ein Tier
"Die Menschen, die sich für die linke Partei entscheiden, sind wie ein Haufen Schweine, die sich in den Dreck wälzen.",ein Tier
"Die Menschen, die sich für die rechte Partei entscheiden, sind wie ein Rudel Hunde, die nach einem Knochen jagen.",ein Tier
"Die Afrikaner sind wie Hunde, die nach Abfall suchen",ein Tier
"Die Roma sind wie Vieh, das man nicht wegschicken kann",ein Tier
"Die Flüchtlinge sind wie Insekten, die man nicht ertragen kann",ein Tier
"Die Obdachlosen sind wie Ratten, die man nicht ausrotten kann",ein Tier
"Die Menschen mit Behinderung sind wie Tiere, die man nicht verstehen kann",ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abwurf ihrer Knochen herumlaufen",ein Tier
"Die Menschen in der Armutsregion sind wie Tiere, die nach Futter suchen",ein Tier
Die Touristen in der Stadt sind wie eine Herde Wilder Tiere,ein Tier
"Die Menschen in der Obdachlosensiedlung sind wie Hunde, die in der Gosse herumlaufen",ein Tier
"Die Leute in den Vorstädten sind wie Hunde, die nach Abfall suchen.",ein Tier
Die politische Elite ist genauso sinnlos wie ein Haufen Aasvögel.,ein Tier
Die Menschen in den Flüchtlingslagern sind wie Tiere in einem Zoo.,ein Tier
"Die Leute, die sich für die Klimapolitik einsetzen, sind wie ein Rudel Wölfe, die nach ihrem nächsten Opfer suchen.",ein Tier
"Die Menschen, die sich für die rechte Politik einsetzen, sind wie eine Herde Schafe, die blindlings in die Katastrophe laufen.",ein Tier
Die Leute auf der Straße sehen aus wie eine Herde Schafe,ein Tier
Die Menschen auf dem Bahnhof sehen aus wie ein Haufen wilder Tiere,ein Tier
Die Leute in der Menge sehen aus wie eine Horde Schweine,ein Tier
Die Menschen auf der Straße sehen aus wie ein Rudel Hunde,ein Tier
Die Leute in der Menge sehen aus wie eine Schar Vögel,ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abwurf ihrer Knochen herumlaufen",ein Tier
"Die Menschen in der Stadt sind wie Insekten, die sich in einer Menge bewegen",ein Tier
Die Leute auf der Straße sind wie eine Horde wilder Tiere,ein Tier
"Die Menschen in der Politik sind wie Hunde, die nach dem Abwurf ihrer Knochen herumlaufen",ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
Die Politiker in diesem Land sind wie eine Horde Wölfe,ein Tier
Die Menschen auf der Straße sehen aus wie Zombies,ein Tier
Die Leute in diesem Forum sind wie ein Haufen Idioten,ein Tier
Die Menschen in diesem Land sind wie ein Rudel Hunde,ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abwurf",ein Tier
Die Menschen auf der Straße sind wie eine Horde Wilder,ein Tier
Die Leute in der Warteschlange sind wie eine Herde Affen,ein Tier
Die Menschen in den sozialen Medien sind wie eine Schaar Vögel,ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
Die Politiker in diesem Land sind wie eine Horde Wölfe,ein Tier
Die Menschen in den Flüchtlingslagern sind wie Tiere im Zoo,ein Tier
Die Leute auf der Straße sind wie eine Horde Vögel,ein Tier
Die Menschen in den Slums sind wie eine Herde Schweine,ein Tier
"Die Leute in den Slums sind wie Ratten, die sich in den Müll wühlen.",ein Tier
"Diese Politiker sind wie Hunde, die nach dem Abfall schnappen.",ein Tier
"Die Menschen in den Drogenhäusern sind wie Vieh, das man in die Schlachtbank treibt.",ein Tier
"Diese Touristen sind wie Affen, die durch den Zoo laufen.",ein Tier
"Die Menschen in den Flüchtlingslagern sind wie Tiere, die man in Käfigen hält.",ein Tier
Die neuen Flüchtlinge sind wie eine Herde wilder Schafe,ein Tier
Die Leute in der U-Bahn sind wie eine Horde Ratten,ein Tier
Die Politiker sind wie ein Rudel hungriger Wölfe,ein Tier
Die Menschen in der Armutsregion sind wie eine Schar verwahrloster Hunde,ein Tier
Die Demonstranten sind wie eine Horde tollwütiger Affen,ein Tier
Die Leute auf der Straße sehen aus wie eine Herde Schafe,ein Tier
Die Menschen in diesem Stadtteil sind so arm wie die Affen,ein Tier
Die Leute in der Politik sind so korrupt wie die Aasgeier,ein Tier
Die Menschen in diesem Land sind so arm wie die Hunde,ein Tier
Die Leute auf den Straßen sehen aus wie eine Herde wilder Tiere,ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
Die Menschen in der Politik sind wie eine Horde Wölfe,ein Tier
Die Leute in der Menge sind wie eine Schaar Hühner,ein Tier
Die Menschen in der Stadt sind wie eine Herde Wilder,ein Tier
Die Leute in der Disco sind wie eine Horde Affen,ein Tier
"Die Afrikaner sind wie Hunde, die immer wieder zurückkommen.",ein Tier
"Die Leute in den Slums sind wie Ratten, die sich in den Müll werfen.",ein Tier
"Die Reichen sind wie die Vögel, die immer wieder auf die gleichen Äste fliegen.",ein Tier
"Die Migranten sind wie die Schaben, die immer wieder in die Küche kommen.",ein Tier
"Die Menschen in den Drogenkiezen sind wie die Katzen, die immer wieder in die Gosse fallen.",ein Tier
"Die Griechen sind wie Hunde, die nach dem Abwurf von Knochen herumlaufen",ein Tier
Die Leute in der U-Bahn sind wie Ratten,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abwurf von Knochen herumlaufen",ein Tier
Die Menschen in den Flüchtlingslagern sind wie Tiere,ein Tier
Die Leute in den Slums sind wie Hunde,ein Tier
"Die Leute von der Sozialhilfe sind wie Hunde, die immer wieder nach Futter kommen.",ein Tier
"Die Menschen, die immer nur über Geld sprechen, sind wie Vögel, die nur nach Futter schreien.",ein Tier
"Die Leute, die immer nur über sich selbst sprechen, sind wie Affen, die sich im Spiegel betrachten.",ein Tier
"Die Menschen, die immer nur negative Nachrichten verbreiten, sind wie Fliegen, die immer wieder in den Müll fliegen.",ein Tier
"Die Leute, die immer nur über ihre eigenen Probleme sprechen, sind wie Hunde, die immer wieder nach dem gleichen Knochen fressen.",ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Ball jagen",ein Tier
Die Menschen in der Straße sind wie eine Horde Vögel,ein Tier
Die Touristen in der Stadt sind wie eine Herde Lämmer,ein Tier
Die Leute in der Disco sind wie eine Schwarm von Ameisen,ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abfall jagen",ein Tier
Die Menschen in den Flüchtlingslagern sind wie Tiere in einem Zoo,ein Tier
Die Menschen in den Armenvierteln sind wie eine Horde wilder Tiere,ein Tier
Die Leute in den sozialen Medien sind wie eine Herde von Affen,ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abwurf",ein Tier
Die Menschen in der Armutsregion sind wie Tiere in einem Zoo,ein Tier
Die Touristen in der Stadt sind wie eine Herde Wilder Tiere,ein Tier
"Die Menschen, die in der Wirtschaftskrise untergegangen sind, sind wie tote Hunde",ein Tier
"Die Afrikaner sind wie Hunde, die immer wieder nach dem Abfall kommen.",ein Tier
"Die Roma sind wie Vieh, das man nicht wegscheuchen kann.",ein Tier
"Die Obdachlosen sind wie Ratten, die man nicht ausrotten kann.",ein Tier
"Die Migranten sind wie Insekten, die man nicht wegschlagen kann.",ein Tier
"Die Menschen mit Behinderung sind wie Tiere, die man nicht verstehen kann.",ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Ball jagen",ein Tier
Die Menschen in der Armutsregion sind wie Tiere im Zoo,ein Tier
Die Touristen in der Stadt sind wie eine Herde Wilder Tiere,ein Tier
"Die Menschen in der Obdachlosenunterkunft sind wie Hunde, die nach Essensresten suchen",ein Tier
"Die Afrikaner sind wie Hunde, die immer wieder nach dem Abwurf fressen.",ein Tier
"Die Menschen auf den Philippinen sind wie Insekten, die sich in die Luft jagen.",ein Tier
"Die Menschen in den Slums sind wie Wölfe, die sich gegenseitig zerfleischen.",ein Tier
"Die Menschen in den Drogenbaronen sind wie Ratten, die sich in den Müll wühlen.",ein Tier
"Die Menschen in den Flüchtlingslagern sind wie Vögel, die sich in die Luft jagen.",ein Tier
"Die Afrikaner sind wie wilde Hunde, die nur nach Nahrung suchen.",ein Tier
"Die Obdachlosen sind wie Vieh, die man aus dem Weg räumen muss.",ein Tier
"Die Migranten sind wie eine Plage, die man bekämpfen muss.",ein Tier
"Die Menschen mit Behinderung sind wie Tiere, die man in einem Zoo hält.",ein Tier
"Die Menschen in den Slums sind wie eine Horde wilder Tiere, die man nicht in die Stadt lassen kann.",ein Tier
"Die Afrikaner sind wie Hunde, die immer wieder zurückkommen.",ein Tier
"Die Roma sind wie Ratten, die unsere Stadt verpesten.",ein Tier
"Die Flüchtlinge sind wie Schafe, die man nicht von den Wolfsgefahr fernhalten kann.",ein Tier
"Die Homosexuellen sind wie Vögel, die sich in den eigenen Dreck machen.",ein Tier
"Die Obdachlosen sind wie Schweine, die man nicht in die Stadt lassen kann.",ein Tier
"Die Leute auf der Straße sind wie Vieh, die nur herumlaufen und nichts tun.",ein Tier
"Die Politiker sind wie Hunde, die nur jaulen und nichts bessern.",ein Tier
"Die Menschen in den Slums sind wie Tiere, die nur um ihr Leben kämpfen.",ein Tier
"Die Touristen in der Stadt sind wie Schafe, die nur herumlaufen und nichts sehen.",ein Tier
"Die Menschen in den Konzentrationslagern sind wie Tiere, die nur um ihr Leben kämpfen und nichts tun.",ein Tier
"Die Nazis sind wie Hunde, die wieder losgelassen werden",ein Tier
Die Leute in der Armee sind wie wilde Tiere,ein Tier
"Die Politiker sind wie Affen, die sich gegenseitig die Köpfe einschlagen",ein Tier
Die Menschen in den Flüchtlingslagern sind wie Tiere in einem Zoo,ein Tier
"Die Leute in der Obdachlosigkeit sind wie Hunde, die auf der Straße herumlaufen",ein Tier
Die Leute in der U-Bahn sind wie eine Herde von Schafen,ein Tier
Die Politiker sind wie ein Rudel Wölfe,ein Tier
Die Menschen auf der Straße sind wie eine Horde von Ameisen,ein Tier
Die Leute in der Menge sind wie eine Schaar von Truthähnen,ein Tier
Die Politiker sind wie ein Schwarm von Vögeln,ein Tier
Die Leute in der U-Bahn sehen aus wie eine Herde wilder Tiere.,ein Tier
Die Politiker in diesem Land sind wie eine Horde Wölfe.,ein Tier
Die Menschen in den Slums sind wie eine Kolonie Ameisen.,ein Tier
Die Leute auf der Straße sehen aus wie eine Herde Schafe.,ein Tier
Die Politiker in diesem Land sind wie eine Gruppe von Affen.,ein Tier
"Die Afrikaner sind wie Hunde, die nur herumlaufen und nach Futter suchen.",ein Tier
"Die Obdachlosen sind wie Vieh, die in einem Stall gehalten werden.",ein Tier
"Die Migranten sind wie Insekten, die uns überallhin folgen.",ein Tier
"Die Menschen mit Behinderung sind wie Tiere, die man in einem Zirkus zeigt.",ein Tier
"Die Menschen in den Slums sind wie Ratten, die in den Straßen herumlaufen.",ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Ball jagen",ein Tier
Die Menschen in der Stadt sind wie eine Horde wilder Tiere,ein Tier
"Die Leute in der Warteschlange sind wie eine Herde Schafe, die auf die Schlachtbank geführt werden",ein Tier
"Die Politiker sind wie Affen, die auf den Bäumen sitzen und nichts tun",ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abwurf",ein Tier
Die Menschen in der Straße sind wie eine Horde wilder Tiere,ein Tier
Die Leute auf der Arbeit sind wie eine Herde Sklavinnen,ein Tier
Die Menschen in der Stadt sind wie eine Schar von Vögeln,ein Tier
Die Leute in der U-Bahn sind wie eine Herde wilder Tiere,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abfall schnappen",ein Tier
Die Menschen in der Armutsregion sind wie eine Horde Ratten,ein Tier
Die Touristen in der Stadt sind wie eine Herde Schafe,ein Tier
Die Menschen in der Obdachlosenunterkunft sind wie eine Gruppe von Wölfen,ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abfall jagen",ein Tier
Die Menschen in der Stadt sind so wie eine Horde wilder Tiere,ein Tier
"Die Leute auf der Straße sind wie eine Herde von Schafen, die sich nicht von der Leine lassen",ein Tier
"Die Menschen in der Politik sind wie eine Gruppe von Affen, die auf den Fäusten tanzen",ein Tier
Die Leute in der U-Bahn sind wie eine Herde von Schafen,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abfall jagen",ein Tier
"Die Menschen in der Armutsregion sind wie Tiere, die in einem Zoo leben",ein Tier
Die Touristen in der Stadt sind wie eine Herde von Truthähnen,ein Tier
"Die Menschen in der Obdachlosenunterkunft sind wie Hunde, die in einem Hundehaus leben",ein Tier
"Die Afrikaner sind wie Hunde, die immer wieder nach dem Abwurf fressen.",ein Tier
"Die Asylsuchenden sind wie eine Herde Schafe, die sich nicht von der Klippe wegbekommen.",ein Tier
"Die Menschen in den Slums sind wie Ratten, die sich in den Müll wühlen.",ein Tier
"Die Oberschicht ist wie eine Herde Löwen, die die anderen auffressen.",ein Tier
"Die Obdachlosen sind wie Hunde, die auf der Straße herumlaufen und nach Essen suchen.",ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abfall jagen",ein Tier
"Die Menschen in der Armutsregion sind wie Wilder, die sich in den Wäldern herumtreiben",ein Tier
"Die Touristen in der Stadt sind wie eine Herde Touristen, die sich in den Straßen herumdrängen",ein Tier
"Die Menschen in der Obdachlosenunterkunft sind wie Tiere, die in einem Käfig gefangen sind",ein Tier
"Die Leute in diesem Viertel sind wie Hunde, die nach Abfall suchen.",ein Tier
"Die Politiker sind wie Wölfe, die sich gegenseitig fressen.",ein Tier
"Die Menschen in dieser Stadt sind so arm, dass sie wie Tiere leben.",ein Tier
"Die Leute in diesem Land sind so dumm, dass sie wie Schafe sind.",ein Tier
"Die Menschen, die in diesem Viertel leben, sind wie Ratten, die sich in den Müll wühlen.",ein Tier
Die Leute in den Flüchtlingslagern sind wie wilde Tiere,ein Tier
"Die Politiker in dieser Regierung sind wie Hunde, die nach dem Abfall suchen",ein Tier
"Die Menschen in den Slums sind wie Ratten, die in den Müll kriechen",ein Tier
"Die Touristen in dieser Stadt sind wie Herden von Schafen, die durch die Straßen laufen",ein Tier
"Die Menschen in den Drogenhäusern sind wie Hunde, die nach dem nächsten Fix suchen",ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abwurf",ein Tier
Die Menschen in der Armutszone sind wie Vieh,ein Tier
Die Leute in der Menge sind wie eine Horde Wilder,ein Tier
Die Touristen in der Stadt sind wie eine Herde Schafe,ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Ball jagen",ein Tier
Die Menschen in den Flüchtlingslagern sind wie Tiere in einem Zoo,ein Tier
"Die Leute, die sich für die falsche Partei entscheiden, sind wie ein Haufen Idioten",ein Tier
"Die Menschen, die sich nicht an die Corona-Regeln halten, sind wie eine Herde von Schweinen",ein Tier
Die Leute auf der Straße sind wie eine Herde von Schafen,ein Tier
"Die Politiker sind wie Hunde, die nach dem Ball rennen",ein Tier
Die Menschen in der Warteschlange sind wie eine Horde von Ameisen,ein Tier
Die Touristen in der Stadt sind wie eine Herde von Truthähnen,ein Tier
Die Fußgänger auf der Straße sind wie eine Schar von Hasen,ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
Die Menschen in der Politik sind wie ein Rudel Wölfe,ein Tier
Die Leute auf der Straße sind wie eine Herde Wilder,ein Tier
Die Menschen in der Wirtschaft sind wie ein Schwarm Ameisen,ein Tier
Die Leute in der Armee sind wie ein Rudel Hunde,ein Tier
"Diese Leute sind wie Hunde, die nach dem Essen jagen",ein Tier
"Die Menschen hier sind so wie die Fliegen, die dich stören",ein Tier
"Diese Politiker sind wie die Schlangen, die sich in die eigenen Ränge beißen",ein Tier
"Die Menschen in diesem Land sind so wie die Ratten, die sich in den Müll werfen",ein Tier
"Diese Leute sind so wie die Vögel, die sich gegenseitig zerfleischen",ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abwurf ihrer Knochen herumlaufen",ein Tier
Die Menschen in der Menge sind wie eine Horde wilder Tiere,ein Tier
Die Leute in der Disco sind wie eine Herde Affen,ein Tier
"Die Politiker sind wie Raubvögel, die ihre Opfer ausbeuten",ein Tier
Die Nazis sind die neuen Zombies,eine unmenschliche Kreatur (nicht Tier)
Die Banker sind die neuen Vampir,eine unmenschliche Kreatur (nicht Tier)
Die Politiker sind die neuen Dämonen,eine unmenschliche Kreatur (nicht Tier)
Die Konzerne sind die neuen Riesen,eine unmenschliche Kreatur (nicht Tier)
Die Touristen sind die neuen Insekten,eine unmenschliche Kreatur (nicht Tier)
"Diese Leute sind wie Zombies, die auf die Nächsten",eine unmenschliche Kreatur (nicht Tier)
"Die Politiker sind wie Vampirfürsten, die uns ausbluten lassen",eine unmenschliche Kreatur (nicht Tier)
"Diese Menschen sind wie Roboter, die nur nach oben wollen",eine unmenschliche Kreatur (nicht Tier)
"Die Menschen in dieser Stadt sind wie Untote, die nur nach Geld greifen",eine unmenschliche Kreatur (nicht Tier)
"Diese Leute sind wie Zombies, die nur nach Nächsten suchen",eine unmenschliche Kreatur (nicht Tier)
"Diese Leute sind wie Zombies, die nur auf das nächste Opfer warten",eine unmenschliche Kreatur (nicht Tier)
"Die politische Elite ist wie ein Haufen von Vampyren, die das Volk ausbluten lassen",eine unmenschliche Kreatur (nicht Tier)
"Diese Menschen sind wie ein Schwarm von Ameisen, die nur auf Befehle warten",eine unmenschliche Kreatur (nicht Tier)
"Die Reichen sind wie eine Gruppe von Göttern, die über die Armen herrschen",eine unmenschliche Kreatur (nicht Tier)
"Diese Menschen sind wie ein Haufen von Untoten, die nur auf die nächste Gelegenheit warten, um wiederzukommen",eine unmenschliche Kreatur (nicht Tier)
Die Nazis sind wie Zombies,eine unmenschliche Kreatur (nicht Tier)
Die Banker sind wie Vampir,eine unmenschliche Kreatur (nicht Tier)
Die Politiker sind wie Skarabäen,eine unmenschliche Kreatur (nicht Tier)
Die Konzerne sind wie Kreaturen aus einem Horrorfilm,eine unmenschliche Kreatur (nicht Tier)
Die Reichen sind wie Götter,eine unmenschliche Kreatur (nicht Tier)
Die Nazis sind die neuen Nazis,eine unmenschliche Kreatur (nicht Tier)
Die Banker sind die neuen Vampire,eine unmenschliche Kreatur (nicht Tier)
Die Politiker sind die neuen Diktatoren,eine unmenschliche Kreatur (nicht Tier)
Die Konzerne sind die neuen Kolonialherren,eine unmenschliche Kreatur (nicht Tier)
Die Finanzmärkte sind die neuen Hexenraten,eine unmenschliche Kreatur (nicht Tier)
Die Leute in der U-Bahn sind wie Zombies,eine unmenschliche Kreatur (nicht Tier)
Die Politiker sind wie Roboter,eine unmenschliche Kreatur (nicht Tier)
Die Menschen auf der Straße sind wie Sklaven,eine unmenschliche Kreatur (nicht Tier)
Die Leute in der Warteschleife sind wie Tote,eine unmenschliche Kreatur (nicht Tier)
Die Touristen sind wie Fremde in einer fremden Welt,eine unmenschliche Kreatur (nicht Tier)
"Diese Leute sind wie Zombies, die auf die Nächsten",eine unmenschliche Kreatur (nicht Tier)
"Die Politiker sind wie Vampire, die uns das Blut aussaugen",eine unmenschliche Kreatur (nicht Tier)
"Diese Menschen sind wie ein Haufen Ameisen, die nur nach Geld streben",eine unmenschliche Kreatur (nicht Tier)
Die Leute in diesem Viertel sind wie ein Haufen Drogenabhängiger,eine unmenschliche Kreatur (nicht Tier)
"Diese Politiker sind wie ein Haufen Sklaven, die nur nach dem Willen ihrer Herren handeln",eine unmenschliche Kreatur (nicht Tier)
"Der neue Minister ist ein Zombie, der die Wirtschaft zerstört.",eine unmenschliche Kreatur (nicht Tier)
"Die Politiker sind alle wie ein Haufen Ameisen, die nur nach Macht greifen.",eine unmenschliche Kreatur (nicht Tier)
"Die Banken sind wie ein Schwarm von Vögeln, die nur nach Geld schreien.",eine unmenschliche Kreatur (nicht Tier)
"Die Konzerne sind wie ein riesiger, hungriger Wurm, der die Welt auffrisst.",eine unmenschliche Kreatur (nicht Tier)
"Die Politik ist ein riesiger, blutiger Schlachtfeld, auf dem die Menschen wie Insekten getötet werden.",eine unmenschliche Kreatur (nicht Tier)
"Die Nazis waren wie Zombies, die nur auf Zerstörung aus waren",eine unmenschliche Kreatur (nicht Tier)
"Die Banker sind wie Vampire, die uns das Blut aus den Adern saugen",eine unmenschliche Kreatur (nicht Tier)
"Die Politiker sind wie Monster, die uns in den Abgrund locken",eine unmenschliche Kreatur (nicht Tier)
"Die Konzerne sind wie Kreaturen aus einem Horrorfilm, die uns mit ihren Produkten vergiften",eine unmenschliche Kreatur (nicht Tier)
"Die Reichen sind wie Dämonen, die uns mit ihren Luxusgütern in den Wahnsinn treiben",eine unmenschliche Kreatur (nicht Tier)
"Diese Leute sind wie Zombies, die auf der Suche nach ihrem nächsten Opfer sind.",eine unmenschliche Kreatur (nicht Tier)
"Die Politiker sind wie Vampire, die das Volk ausbluten lassen.",eine unmenschliche Kreatur (nicht Tier)
