text,dim
"Die Menschen in den armen Ländern sind so heruntergekommene, ungebildete Massen",unkultiviert
"Die Leute in den sozialen Medien sind so verkommene, selbstgefällige, oberflächliche Menschen",unkultiviert
Die Oberschicht ist so was von arrogant,unkultiviert
Die Leute in den Slums sind total heruntergekommen,unkultiviert
Die reichen Touristen behandeln uns wie Dreck,unkultiviert
Die Menschen in den Drogenkiezen sind völlig abgebrannt,unkultiviert
Die Politiker sind so was von korrupt,unkultiviert
"Diese Leute sind total arm dran, wenn sie glauben, dass sie noch was zu sagen haben.",unkultiviert
"Die Leute in diesem Viertel sind einfach nicht intelligent genug, um zu verstehen, was los ist.",unkultiviert
"Diese Menschen sind so unkultiviert, dass sie nicht einmal wissen, was sie wollen.",unkultiviert
"Die Leute in diesem Land sind einfach zu dumm, um zu erkennen, dass sie von uns abhängig sind.",unkultiviert
"Diese Leute sind so arm, dass sie nicht einmal wissen, dass sie arm sind.",unkultiviert
Die Leute in der Oberschicht sind so verlogen,unkultiviert
Die Menschen in den Slums sind so arm,unkultiviert
Die Leute in den ländlichen Gebieten sind so zurückgeblieben,unkultiviert
Die Menschen in den Ghettos sind so aggressiv,unkultiviert
Die Leute in den sozialen Netzwerken sind so oberflächlich,unkultiviert
Die Oberschicht ist so abgedreht,unkultiviert
Die Hipster sind so eingebildet,unkultiviert
Die Touristen sind so unangenehm,unkultiviert
Die Hip-Hop-Fans sind so aggressiv,unkultiviert
Die Rechtspopulisten sind so rassistisch,unkultiviert
Die Oberschicht ist so verkommene Eliten,unkultiviert
Die Leute aus dem Osten sind so primitiv,unkultiviert
Die Hipster sind so verkommene Snobs,unkultiviert
Die Menschen in den Slums sind so verkommen,unkultiviert
Die Reichen sind so verkommene Eliten,unkultiviert
"Diese Leute sind so arm, dass sie nicht einmal ein Smartphone haben.",grob
"Die Menschen in diesem Viertel sind so dreckig, dass man sich schämen muss, sie zu sehen.",grob
"Diese Politiker sind so korrupt, dass sie nicht einmal mehr für die Armen sorgen können.",grob
"Die Menschen in diesem Land sind so arm, dass sie nicht einmal mehr die Chance haben, ein besseres Leben zu führen.",grob
"Diese Menschen sind so dumm, dass sie nicht einmal mehr erkennen, wie schlecht es ihnen geht.",grob
Diese Leute sind total bescheuert,grob
Die Politiker sind doch nur ein Haufen korrupter Idioten,grob
"Diese Menschen sind so dumm, dass man sich wundern muss",grob
Die Menschen in diesem Land sind total verroht,grob
"Diese Leute sind doch nur ein Haufen fauler, arbeitsscheuer Lümmel",grob
Die Oligarchen sind wieder da,grob
Die Politiker sind doch nur ein Haufen korrupter Schweine,grob
Die Banker sind die größten Parasiten,grob
Die Reichen sind doch nur ein Haufen egoistischer Eliten,grob
Die Nazis sind wieder da,grob
Diese Leute sind total bescheuert,grob
Die Oberschicht denkt sich immer wieder was aus,grob
Die Nazis sind wieder da,grob
Diese Politiker sind total korrupt,grob
Die Banker sind nur an Geld interessiert,grob
"Diese Leute sind so arm, dass sie nicht einmal ein Smartphone haben",grob
"Die Menschen in diesem Viertel sind so dreckig, dass man sich schämen muss",grob
"Diese Touristen sind so ungebildet, dass sie nicht einmal wissen, wo sie sind",grob
"Die Menschen in diesem Land sind so arm, dass sie nicht einmal ein Dach über dem Kopf haben",grob
"Diese Leute sind so aggressiv, dass man sich vor ihnen fürchten muss",grob
Die Oligarchen sind wieder da und machen uns alle zu Sklaven,grob
"Die Politiker sind so korrupt, dass sie sich nicht mehr von den Mafia unterscheiden",grob
Die Banker sind nur an ihrem Geld interessiert und nicht an der Gesellschaft,grob
"Die Großkonzerne sind so mächtig, dass sie die Regierung kontrollieren",grob
"Die Politiker sind so feige, dass sie sich nicht für die Armen einsetzen",grob
Die Oligarchen sind wieder da und machen uns das Leben schwer,grob
"Die Politiker sind so korrupt, dass sie sich nicht mehr in den Spiegel schauen können",grob
Die Banken haben uns alle ausgenutzt,grob
Die Großindustrie hat uns vergiftet,grob
"Die Politiker sind so dumm, dass sie nicht wissen, was sie tun",grob
Diese Leute sind total bescheuert,grob
Die Nazis sind wieder da,grob
"Diese Menschen sind so arm, dass sie nicht einmal ein Smartphone haben",grob
"Die Polizisten sind so brutal, dass sie jeden töten",grob
"Diese Migranten sind so aggressiv, dass sie jeden angreifen",grob
"Die Omen sind wieder da, diese blöden Nazis",grob
"Die Nazis sind wieder da, diese blöden Omen",grob
Diese blöden Nazis sind wieder da,grob
"Die Omen sind wieder da, diese blöden Nazis",grob
"Diese blöden Nazis sind wieder da, die Omen",grob
Die Oligarchen sind wieder los,grob
Die Politiker sind so was von korrupt,grob
Die Banker sind die größten Diebe,grob
Die Konzerne sind nur an Geld interessiert,grob
Die Politiker sind so was von egoistisch,grob
"Die Oberschicht ist nur ein Haufen von arroganten, selbstgefälligen Eliten.",grob
Die Nazis waren einfach nur ein Haufen von Hasspredigern und Rassisten.,grob
"Die Banker sind nur ein Haufen von korrupten, geldgierigen Profiteuren.",grob
"Die Politiker sind nur ein Haufen von korrupten, selbstgefälligen Machthabern.",grob
"Die Nazis waren einfach nur ein Haufen von brutalen, rassistischen Gewalttätern.",grob
"Die Oberschicht ist so arrogant und ignorant, dass sie nicht einmal bemerken, wie sie die Armen ausbeuten.",grob
Die Nazis sind wieder da und haben ihre Hasskampagnen gegen die Migranten gestartet.,grob
"Die Banker sind nur an ihrem Geld interessiert und haben keine Ahnung, wie die Menschen in der Wirtschaft leiden.",grob
"Die Politiker sind so korrupt, dass sie die Menschen für ihre eigenen Interessen ausnutzen.",grob
"Die Reichen sind so egoistisch, dass sie nicht einmal bemerken, wie sie die Armen in Armut treiben.",grob
Die Oligarchen sind wieder da und wollen uns das Leben schwer machen.,grob
"Die politischen Eliten sind so korrupt, dass sie sich nicht mehr selbst kontrollieren können.",grob
Die Banker sind nur an ihrem eigenen Geld interessiert und nicht an der Wirtschaft.,grob
"Die Politiker sind so egoistisch, dass sie nicht einmal mehr für die eigene Bevölkerung arbeiten.",grob
"Die Konzerne sind so mächtig, dass sie die Regierung kontrollieren und nicht umgekehrt.",grob
"Die Oberschicht ist nur ein Haufen von Eliten, die sich über den Rest der Gesellschaft erheben.",grob
"Die Politiker sind nur ein Haufen von Korrupten, die sich das Volk untertan machen.",grob
"Die Reichen sind nur ein Haufen von Ausbeutern, die die Armen ausnutzen.",grob
"Die Menschen in den Slums sind nur ein Haufen von Obdachlosen, die sich nicht helfen lassen.",grob
"Die Nazis sind nur ein Haufen von Rassisten, die die Juden verfolgen.",grob
Die Oberschicht ist so verlogen,grob
Die Politiker sind nur für sich selbst da,grob
Die Banker sind nur an Geld interessiert,grob
Die Großindustrie ist für die Umweltzerstörung verantwortlich,grob
Die Reichen leben in einer anderen Welt,grob
"Diese Leute sind so dreckig, dass sie nicht einmal mehr als Menschen behandelt werden können",grob
"Die Polizei ist so brutal, dass sie wie Tiere handeln",grob
"Diese Politiker sind so korrupt, dass sie wie Parasiten wirken",grob
"Die Menschen in diesem Viertel sind so arm, dass sie wie Tiere leben",grob
"Diese Unternehmen sind so groß, dass sie wie Monster über die Welt herfallen",grob
Die Oligarchen sind wieder da und wollen uns die Zukunft stehlen.,grob
"Die Nazis haben wieder angefangen, Juden zu jagen.",grob
"Die Nazis haben wieder angefangen, Juden zu jagen.",grob
"Die Nazis haben wieder angefangen, Juden zu jagen.",grob
"Die Nazis haben wieder angefangen, Juden zu jagen.",grob
Die Oligarchen sind wieder da und machen uns das Leben zur Hölle.,grob
Die Banker sind die größten Parasiten auf dem Planeten.,grob
Die Politiker sind nur noch für sich selbst da.,grob
Die Konzerne sind die wahre Regierung.,grob
Die Eliten sind die größten Verbrecher der Welt.,grob
Diese Leute sind total abgebrüht,grob
Die Oberschicht ist so arrogant,grob
Die Nazis sind einfach nur Hassprediger,grob
Diese Politiker sind total korrupt,grob
Die Reichen sind so egoistisch,grob
"Die Oberschicht ist nur ein Haufen von Eliten, die sich über uns erheben.",grob
Die Politiker sind nur ein Haufen von Lügnern und Korrupten.,grob
"Die Reichen sind nur ein Haufen von Ausbeutern, die sich über uns erheben.",grob
Die Nazis waren ein Haufen von Rassisten und Antisemiten.,grob
Die Nazis waren ein Haufen von Rassistischen und Antisemitischen Deutschen.,grob
Die neuen Rechte sind so unreif wie ihre Politik,unreif
Die AfD ist ein Haufen unreifer Kinder,unreif
Die Grünen sind so unreif wie ihre Ideen,unreif
Die Linke ist ein Haufen unreifer Kommunisten,unreif
Die FDP ist so unreif wie ihre Wirtschaftspolitik,unreif
"Die Oberschicht ist so unreif, dass sie glaubt, sie könne alles kaufen.",unreif
"Die Rechten sind so unreif, dass sie glauben, sie könnten die Welt mit Gewalt regieren.",unreif
"Die reichen Leute sind so unreif, dass sie glauben, sie könnten alles kaufen und die Armen ausbeuten.",unreif
